A;Augsburg;Bayern
AA;Aalen Ostalbkreis;Baden-Württemberg
AB;Aschaffenburg;Bayern
ABG;Altenburg;Thüringen
AC;Aachen;Nordrhein-Westfalen
AE;Auerbach;Sachsen
AIC;Aichach-Friedberg;Bayern
AK;Altenkirchen/Westerwald;Rheinland-Pfalz
AM;Amberg;Bayern
AN;Ansbach;Bayern
ANA;Annaberg;Sachsen
ANG;Angermünde;Brandenburg
ANK;Anklam;Mecklenburg-Vorpommern
AOE;Altötting;Bayern
APD;Apolda;Thüringen
ARN;Arnstadt;Thüringen
ART;Artern;Thüringen
AS;Amberg-Sulzbach;Bayern
ASL;Aschersleben;Sachsen-Anhalt
AT;Altentreptow;Mecklenburg-Vorpommern
AU;Aue;Sachsen
AUR;Aurich;Niedersachsen
AW;Bad Neuenahr-Ahrweiler;Rheinland-Pfalz
AZ;Alzey-Worms;Rheinland-Pfalz
B;Berlin;Berlin
BA;Bamberg;Bayern
BAD;Baden-Baden;Baden-Württemberg
BAR;Barnim;Brandenburg
BB;Böblingen;Baden-Württemberg
BBG;Bernburg;Sachsen-Anhalt
BC;Biberach/Riss;Baden-Württemberg
BED;Brand-Erbisdorf;Sachsen
BEL;Belzig;Brandenburg
BER;Bernau bei Berlin;Brandenburg
BGL;Berchtesgadener Land;Bayern
BI;Bielefeld;Nordrhein-Westfalen
BIR;Birkenfeld/Nahe und Idar-Oberstein;Rheinland-Pfalz
BIT;Bitburg-Prüm;Rheinland-Pfalz
BIW;Bischofswerda;Sachsen
BL;Zollernalbkreis in Balingen;Baden-Württemberg
BM;Erftkreis in Bergheim;Nordrhein-Westfalen
BN;Bonn;Nordrhein-Westfalen
BNA;Borna;Sachsen
BO;Bochum;Nordrhein-Westfalen
BOR;Borken in Ahaus;Nordrhein-Westfalen
BOT;Bottrop;Nordrhein-Westfalen
BRA;Wesermarsch in Brake;Niedersachsen
BRB;Brandenburg;Brandenburg
BRG;Burg;Sachsen-Anhalt
BS;Braunschweig;Niedersachsen
BSK;Beeskow;Brandenburg
BT;Bayreuth;Bayern
BTF;Bitterfeld;Sachsen-Anhalt
BÜS;Büsingen am Hochrhein;Baden-Württemberg
BÜZ;Bützow;Mecklenburg-Vorpommern
